english,chinese,level,phonetic,example1,example1_form,example1_cn,example2,example2_form,example2_cn
wake,醒来,小学,/weɪk/,Wake up.,,醒来,I wake at seven o'clock.,wake,我七点醒来。
walk,走,小学,/wɔːk/,Walk to school.,,步行上学,Let's walk in the park.,,我们去公园散步吧。
wall,墙,小学,/wɔːl/,The wall is white.,,墙是白色的,There is a picture on the wall.,,墙上有一幅画。
want,想要,小学,/wɑːnt/,I want a pen.,,我想要一支钢笔,Do you want some water?,,你想要一些水吗？
war,战争,小学,/wɔːr/,No war.,,不要战争,The war ended long ago.,,战争很久以前就结束了。
wash,洗,小学,/wɑːʃ/,Wash my hands.,,洗手,She washes the dishes.,washes,她洗碗。
waste,浪费,小学,/weɪst/,Don't waste water.,,别浪费水,It's a waste of time.,,这是浪费时间。
watch,观看；手表,小学,wɒtʃ,Watch TV.,,看电视,I watch a movie.,watched,我看了一部电影。
water,水,小学,ˈwɔːtə(r),Drink water.,,喝水,The flowers need water.,watering,这些花需要浇水。
wave,波浪；挥手,小学,weɪv,Wave your hand.,,挥手,She waves goodbye.,waved,她挥手告别。
way,路；方式,小学,weɪ,This way.,,这边走,Show me the way.,,给我指路。
we,我们,小学,wiː,We are friends.,,我们是朋友,We play together.,,我们一起玩。
weak,虚弱的,小学,wiːk,He is weak.,,他很虚弱,A weak voice.,,微弱的声音。
wealth,财富,小学,welθ,Health is wealth.,,健康就是财富,He has great wealth.,,他拥有巨额财富。
wear,穿,小学,weə(r),Wear a coat.,,穿外套,She wears a hat.,wore,她戴着一顶帽子。
Wednesday,星期三,小学,ˈwenzdeɪ,Today is Wednesday.,,今天星期三,We have class on Wednesday.,,我们星期三有课。
week,星期,小学,wiːk,A week.,,一周,Next week.,,下周。
weekend,周末,小学,ˌwiːkˈend,At the weekend.,,在周末,We go out on the weekend.,,我们周末出去玩。
weigh,称重,小学,weɪ,Weigh the apple.,,称苹果,He weighs himself.,weighed,他称了自己的体重。
welcome,欢迎,小学,ˈwelkəm,Welcome home.,,欢迎回家,You are welcome.,,不客气。
well,好；井,小学,wel,Well done.,,做得好,He draws well.,,他画得很好。
west,西方,小学,west,West of China.,,中国西方,The sun sets in the west.,,太阳从西边落下。
wet,湿的,小学,/wet/,Wet clothes.,,湿衣服,The floor is wet.,,地板是湿的。
what,什么,小学,/wɒt/,What's this?,,这是什么,What time is it?,,现在几点了？
when,什么时候,小学,/wen/,When do you get up?,,你什么时候起床,When is your birthday?,,你的生日是什么时候？
where,哪里,小学,/weə(r)/,Where are you?,,你在哪里,Where is the school?,,学校在哪里？
whether,是否,小学,/ˈweðə(r)/,I don't know whether.,,我不知道是否,I wonder whether it will rain.,,我想知道是否会下雨。
which,哪一个,小学,/wɪtʃ/,Which one?,,哪一个,Which book do you like?,,你喜欢哪本书？
white,白色的,小学,/waɪt/,White cat.,,白猫,The snow is white.,,雪是白色的。
who,谁,小学,/huː/,Who are you?,,你是谁,Who is that girl?,,那个女孩是谁？
why,为什么,小学,/waɪ/,Why not?,,为什么不,Why are you late?,,你为什么迟到？
wide,宽的,小学,/waɪd/,A wide road.,,宽阔的路,The river is wide.,,这条河很宽。
wife,妻子,小学,/waɪf/,My wife.,,我的妻子,His wife is a teacher.,,他的妻子是一名老师。
will,将要,小学,/wɪl/,I will go.,,我将要去,She will help you.,,她会帮助你的。
win,赢,小学,/wɪn/,Win the game.,,赢得比赛,They want to win.,,他们想赢。
wind,风,小学,/wɪnd/,The wind blows.,,风吹,A strong wind is coming.,,一阵强风要来了。
window,窗户,小学,/ˈwɪndəʊ/,Open the window.,,打开窗户,Look out of the window.,,向窗外看。
wine,酒,小学,/waɪn/,Red wine.,,红酒,I drink wine.,,我喝酒。
winter,冬天,小学,/ˈwɪntər/,Winter is cold.,,冬天很冷,Winter comes.,,冬天来了。
wire,电线,小学,/ˈwaɪər/,Electric wire.,,电线,A wire fence.,,铁丝网。
wise,聪明的,小学,/waɪz/,A wise man.,,聪明人,Wise advice.,,明智的建议。
with,和……一起,小学,/wɪð/,Play with me.,,和我一起玩,Go with him.,,和他一起去。
woman,女人,小学,/ˈwʊmən/,She is a woman.,,她是一个女人,A kind woman.,,一位善良的女人。
wood,木头,小学,/wʊd/,Wooden table.,Wooden,木桌子,The wood is hard.,,木头很硬。
word,单词,小学,/wɜːrd/,Learn a word.,,学一个单词,A new word.,,一个新单词。
work,工作,小学,/wɜːrk/,I work hard.,,我努力工作,He works.,works,他工作。
world,世界,小学,/wɜːrld/,The world is big.,,世界很大,Around the world.,,环游世界。
worry,担心,小学,/ˈwɜːri/,Don't worry.,,别担心,She worries.,worries,她担心。
worth,值得,小学,/wɜːrθ/,Worth it.,,值得,It is worth.,,它是值得的。
would,将要；愿意,小学,/wʊd/,I would like.,,我想要,Would you go?,,你会去吗？
wrap,包裹,小学,/ræp/,Wrap the gift.,,包裹礼物,She wraps it.,wraps,她把它包起来。
write,写,小学,/raɪt/,Write a letter.,,写信,He writes a story.,writes,他写一个故事。
wrong,错误的,小学,rɒŋ,You are wrong.,,你错了,He gave the wrong answer.,,他给出了错误的答案。
year,年,小学,jɪə(r),One year.,,一年,Happy New Year!,,新年快乐！
yellow,黄色的,小学,ˈjeləʊ,Yellow banana.,,黄香蕉,The sun is yellow.,,太阳是黄色的。
yes,是,小学,jes,"Yes, please.",,好的,"Yes, I can.",,是的，我能。
yesterday,昨天,小学,ˈjestədeɪ,Yesterday was Monday.,,昨天星期一,I saw him yesterday.,,我昨天看见他了。
yet,还；仍然,小学,jet,Not yet.,,还没有,Is he here yet?,,他到了吗？
you,你；你们,小学,juː,How are you?,,你好吗,Can you help me?,,你能帮我吗？
young,年轻的,小学,jʌŋ,Young boy.,,年轻男孩,She is young and smart.,,她年轻又聪明。
your,你的；你们的,小学,jɔː(r),Your book.,,你的书,Is this your pen?,,这是你的钢笔吗？
yours,你的（东西）,小学,jɔːz,This book is yours.,,这本书是你的,Is this bag yours?,,这个包是你的吗？
yourself,你自己,小学,jɔːˈself,Do it yourself.,,自己做,Take care of yourself.,,照顾好你自己。
zoo,动物园,小学,zuː,Go to the zoo.,,去动物园,We saw lions at the zoo.,,我们在动物园看到了狮子。
ability,能力,初中,əˈbɪləti,Learning a foreign language requires ability.,,学习外语需要能力。,She has the ability to solve problems.,,她具有解决问题的能力。
able,能够的,初中,ˈeɪbl,I am able to swim.,,我能够游泳。,Will you be able to come tomorrow?,,你明天能来吗？
about,关于；大约,初中,əˈbaʊt,Tell me about yourself.,,告诉我关于你的情况。,It's about five o'clock.,,现在大约五点钟。
above,在...上方,初中,/əˈbʌv/,The picture is above the sofa.,,图画在沙发上方。,The temperature is above freezing.,,温度在冰点以上。
abroad,在国外,初中,/əˈbrɔːd/,He studies abroad.,,他在国外学习。,She often travels abroad for work.,,她经常因公出国。
absent,缺席的,初中,/ˈæbsənt/,Tom was absent from school yesterday.,,汤姆昨天没来上学。,He is often absent from meetings.,,他经常缺席会议。
accept,接受,初中,/əkˈsept/,I accept your invitation.,,我接受你的邀请。,She accepted the gift happily.,accepted,她高兴地接受了礼物。
accident,事故,初中,/ˈæksɪdənt/,There was a car accident.,,发生了一起车祸。,He broke his leg in a skiing accident.,,他在一次滑雪事故中摔断了腿。
account,账户；解释,初中,/əˈkaʊnt/,Please check your bank account.,,请检查你的银行账户。,He gave a detailed account of the event.,,他对事件做了详细的描述。
ache,疼痛,初中,/eɪk/,I have a headache.,,我头痛。,My muscles ached after the workout.,ached,锻炼后我的肌肉酸痛。
across,穿过,初中,/əˈkrɒs/,Walk across the bridge.,,走过这座桥。,There is a bank across the street.,,街对面有一家银行。
act,行动；表演,初中,/ækt/,Act quickly!,,快点行动！,She acted in a school play.,acted,她在学校话剧里表演。
action,行动,初中,/ˈækʃn/,Take action now.,,现在就采取行动。,His quick action saved the child.,,他的迅速行动救了那个孩子。
active,积极的,初中,/ˈæktɪv/,He is active in class.,,他在课堂上很积极。,She leads an active lifestyle.,,她过着积极活跃的生活。
activity,活动,初中,/ækˈtɪvəti/,School activities are fun.,,学校活动很有趣。,Outdoor activities are good for health.,,户外活动对健康有益。
add,添加,初中,/æd/,Add some sugar to the tea.,,在茶里加点糖。,She added a new paragraph to her essay.,added,她在文章里加了一个新段落。
address,地址,初中,/əˈdres/,What's your address?,,你的地址是什么？,He addressed the envelope carefully.,addressed,他仔细地在信封上写地址。
admire,钦佩,初中,/ədˈmaɪə(r)/,I admire your courage.,,我钦佩你的勇气。,We all admired her for her honesty.,admired,我们都钦佩她的诚实。
admit,承认,初中,/ədˈmɪt/,He admitted his mistake.,admitted,他承认了自己的错误。,She admits she was wrong.,admits,她承认她错了。
adult,成年人,初中,/ˈædʌlt/,Adults should set good examples.,Adults,成年人应该树立好榜样。,He became an adult last year.,adult,他去年成年了。
advance,前进,初中,/ədˈvæns/,The army advanced toward the enemy.,advanced,军队向敌人前进。,Technology advances quickly.,advances,技术发展迅速。
advice,建议,初中,/ədˈvaɪs/,Can you give me some advice?,,你能给我一些建议吗？,His advice was very helpful.,,他的建议非常有帮助。
advise,建议,初中,/ədˈvaɪz/,I advise you to study harder.,,我建议你更加努力学习。,She advised me to take a break.,advised,她建议我休息一下。
afford,负担得起,初中,/əˈfɔːrd/,I cannot afford a new car.,,我买不起新车。,We can afford this vacation.,,我们负担得起这次度假。
afraid,害怕的,初中,/əˈfreɪd/,I'm afraid of snakes.,,我害怕蛇。,Don't be afraid to ask questions.,,不要害怕提问。
after,在...之后,初中,/ˈæftər/,"After lunch, we went shopping.",,午饭后，我们去购物了。,He arrived after me.,,他在我之后到达。
afternoon,下午,初中,/ˌæftərˈnuːn/,See you this afternoon.,,今天下午见。,We have a meeting in the afternoon.,,我们下午有个会议。
again,再次,初中,/əˈɡen/,Please say it again.,,请再说一遍。,I hope to see you again.,,我希望再次见到你。
against,反对,初中,/əˈɡenst/,We are against smoking.,,我们反对吸烟。,He leaned against the wall.,,他靠在墙上。
age,年龄,初中,/eɪdʒ/,What's your age?,,你多大了？,The legal age is 18.,,法定年龄是18岁。
ago,以前,初中,/əˈɡoʊ/,I met him three days ago.,,我三天前见过他。,She left a long time ago.,,她很久以前离开了。
agree,同意,初中,/əˈɡriː/,I agree with you.,,我同意你的观点。,They agreed to the plan.,agreed,他们同意了这个计划。
agreement,协议,初中,/əˈɡriːmənt/,Both sides signed the agreement.,,双方签署了协议。,We reached an agreement.,,我们达成了协议。
air,空气,初中,/eə(r)/,Fresh air is good for health.,,新鲜空气有益健康。,The balloon is filled with air.,,气球里充满了空气。
airport,机场,初中,/ˈeəpɔːt/,Let's meet at the airport.,,我们在机场见面吧。,The airport is very busy today.,,今天机场非常繁忙。
alive,活着的,初中,/əˈlaɪv/,The fish is still alive.,,鱼还活着。,He was happy to be alive after the accident.,,事故后他还活着，感到很高兴。
all,所有的,初中,/ɔːl/,All students must attend.,,所有学生都必须参加。,She ate all the cookies.,,她吃掉了所有的饼干。
allow,允许,初中,/əˈlaʊ/,My parents allow me to stay out late.,,我父母允许我晚归。,The teacher allowed the students to leave early.,allowed,老师允许学生们提前离开。
almost,几乎,初中,/ˈɔːlməʊst/,I almost forgot.,,我差点忘了。,It's almost time for dinner.,,快到晚饭时间了。
alone,独自,初中,/əˈləʊn/,He lives alone.,,他独自生活。,She prefers to work alone.,,她更喜欢独自工作。
along,沿着,初中,/əˈlɒŋ/,Walk along this street.,,沿着这条街走。,We drove along the river.,,我们沿着河开车。
aloud,大声地,初中,/əˈlaʊd/,"Read aloud, please.",,请大声朗读。,He laughed aloud at the joke.,,听到这个笑话，他大声笑了起来。
already,已经,初中,/ɔːlˈredi/,I have already finished.,,我已经完成了。,She has already left for school.,,她已经去学校了。
also,也,初中,/ˈɔːlsəʊ/,She is also coming.,,她也要来。,I also like playing basketball.,,我也喜欢打篮球。
although,尽管,初中,/ɔːlˈðəʊ/,"Although it's raining, we'll go.",,尽管在下雨，我们还是要去。,"Although he is young, he is very responsible.",,尽管他很年轻，但他非常有责任心。
always,总是,初中,/ˈɔːlweɪz/,He always arrives on time.,,他总是准时到达。,She always helps her friends.,,她总是帮助她的朋友。
am,是（be的第一人称单数形式）,初中,/æm/,I am a student.,,我是学生。,I am happy today.,,我今天很开心。
amazing,令人惊奇的,初中,/əˈmeɪzɪŋ/,The view is amazing.,,景色令人惊叹。,She told me an amazing story.,,她给我讲了一个令人惊奇的故事。
America,美国,初中,/əˈmerɪkə/,America is a developed country.,,美国是发达国家。,I have never been to America.,,我从未去过美国。
American,美国的；美国人,初中,/əˈmerɪkən/,He is American.,,他是美国人。,She loves American movies.,movies,她喜欢美国电影。
among,在...中间,初中,/əˈmʌŋ/,He sat among his friends.,,他坐在朋友们中间。,She was among the best students.,,她是最优秀的学生之一。
amount,数量,初中,/əˈmaʊnt/,A large amount of water evaporated.,,大量水分蒸发了。,The amount of work is huge.,,工作量巨大。
and,和,初中,"/ənd, ænd/",Bread and butter is my breakfast.,,面包和黄油是我的早餐。,He stood up and left.,,他站起来然后离开了。
angry,生气的,初中,/ˈæŋɡri/,Don't be angry.,,别生气。,She gave me an angry look.,,她生气地看了我一眼。
animal,动物,初中,/ˈænɪml/,Dogs are loyal animals.,animals,狗是忠诚的动物。,The zoo has many animals.,animals,动物园里有很多动物。
another,另一个,初中,/əˈnʌðər/,Would you like another cup of tea?,,你想再来一杯茶吗？,Let's try another way.,,我们试试另一种方法吧。
answer,回答,初中,/ˈænsər/,Can you answer this question?,,你能回答这个问题吗？,He answered the phone quickly.,answered,他迅速接了电话。
any,任何,初中,/ˈeni/,Do you have any questions?,,你有任何问题吗？,You can buy any book you like.,,你可以买任何你喜欢的书。
anybody,任何人,初中,/ˈenibɒdi/,Is anybody home?,,有人在家吗？,Anybody can learn to swim.,,任何人都可以学会游泳。
anyone,任何人,初中,/ˈeniwʌn/,Anyone can join.,,任何人都可以加入。,I didn't see anyone there.,,我在那里没看到任何人。
anything,任何事物,初中,/ˈeniθɪŋ/,I don't know anything.,,我什么都不知道。,You can ask me anything.,,你可以问我任何事。
anyway,无论如何,初中,/ˈeniweɪ/,"It's raining, but let's go anyway.",,在下雨，但我们还是去吧。,"Anyway, I have to leave now.",,无论如何，我现在必须走了。
anywhere,任何地方,初中,/ˈeniweər/,You can sit anywhere.,,你可以坐在任何地方。,I cannot find my keys anywhere.,,我到处都找不到我的钥匙。
appear,出现,初中,/əˈpɪr/,The sun appeared from behind the clouds.,appeared,太阳从云层后面出现了。,A ship appeared on the horizon.,appeared,一艘船出现在地平线上。
April,四月,初中,/ˈeɪprəl/,April is the fourth month.,,四月是第四个月。,My birthday is in April.,,我的生日在四月。
area,区域,初中,/ˈeriə/,This area is famous for its scenery.,,这个地区以其风景而闻名。,The picnic area is over there.,,野餐区在那边。
arm,胳膊,初中,/ɑːrm/,Raise your arm.,,举起你的胳膊。,He broke his arm in the accident.,,他在事故中摔断了胳膊。
army,军队,初中,/ˈɑːrmi/,The army defended the country.,,军队保卫了国家。,He joined the army last year.,,他去年参军了。
around,围绕；大约,初中,/əˈraʊnd/,We walked around the lake.,,我们绕着湖走。,It costs around ten dollars.,,它大约值十美元。
arrive,到达,初中,/əˈraɪv/,What time did you arrive?,arrived,你什么时候到的？,The train arrives at 3 PM.,arrives,火车下午3点到达。
art,艺术,初中,/ɑːrt/,Art enriches our lives.,,艺术丰富了我们的生活。,She loves modern art.,,她热爱现代艺术。
article,文章,初中,/ˈɑːrtɪkl/,I wrote an article for the newspaper.,,我为报纸写了一篇文章。,This article is very interesting.,,这篇文章很有趣。
as,作为；如同,初中,/æz/,"As a student, you should study hard.",,作为一名学生，你应该努力学习。,He works as a teacher.,,他是一名老师。
ask,询问,初中,/æsk/,May I ask a question?,,我可以问一个问题吗？,She asked me for help.,asked,她向我求助。
asleep,睡着的,初中,/əˈsliːp/,The baby is asleep.,,婴儿在睡觉。,He fell asleep quickly.,,他很快就睡着了。
at,在,初中,/æt/,I'll meet you at the station.,,我在车站等你。,Look at the blackboard.,,看黑板。
attack,攻击,初中,/əˈtæk/,The dog attacked the stranger.,attacked,狗攻击了陌生人。,The army will attack at dawn.,attack,军队将在黎明时发起攻击。
attend,参加,初中,/əˈtend/,I attend school every day.,,我每天上学。,She attended the meeting yesterday.,attended,她昨天参加了会议。
attention,注意力,初中,/əˈtenʃn/,Pay attention to the teacher.,,注意听老师讲课。,He didn't pay any attention to my warning.,,他根本没注意我的警告。
August,八月,初中,/ˈɔːɡəst/,My birthday is in August.,,我的生日在八月。,We often go on holiday in August.,,我们经常在八月去度假。
aunt,阿姨,初中,/ɑːnt/,My aunt is a nurse.,,我的阿姨是护士。,I visited my aunt last weekend.,,我上周末去看望了我的阿姨。
autumn,秋天,初中,/ˈɔːtəm/,Autumn is my favorite season.,,秋天是我最喜欢的季节。,Leaves turn yellow in autumn.,,树叶在秋天变黄。
avoid,避免,初中,/əˈvɔɪd/,Try to avoid mistakes.,,尽量避免错误。,He avoided answering the question.,avoided,他避而不答那个问题。
awake,醒着的,初中,/əˈweɪk/,I was awake all night.,,我整夜都没睡。,The noise kept me awake.,,噪音让我一直醒着。
away,离开,初中,/əˈweɪ/,Go away!,,走开！,He lives far away from the city.,,他住得离城市很远。
baby,婴儿,初中,/ˈbeɪbi/,The baby is sleeping.,,婴儿在睡觉。,She is taking care of the baby.,,她正在照顾婴儿。
back,背部；回来,初中,/bæk/,"Turn back, please.",,请转身回来。,He hurt his back while lifting.,,他抬东西时伤了背部。
bad,坏的,初中,/bæd/,This is bad news.,,这是坏消息。,The weather was bad yesterday.,,昨天的天气很糟。
bag,包,初中,/bæɡ/,I bought a new bag.,,我买了一个新包。,She packed her bag for the trip.,,她为旅行收拾好了包。
ball,球,初中,/bɔːl/,Let's play ball.,,我们来打球吧。,The boy kicked the ball.,,男孩踢了球。
balloon,气球,初中,/bəˈluːn/,The balloon floated away.,,气球飘走了。,We blew up balloons for the party.,balloons,我们为派对吹起了气球。
bank,银行；河岸,初中,/bæŋk/,I deposited money at the bank.,,我在银行存了钱。,We had a picnic by the river bank.,,我们在河岸边野餐。
base,基础,初中,/beɪs/,The base of the building is strong.,,建筑物的基础很牢固。,The story is based on real events.,based,这个故事是基于真实事件。
basic,基本的,初中,/ˈbeɪsɪk/,These are basic rules.,,这些是基本规则。,We need to learn basic skills first.,,我们需要先学习基本技能。
basket,篮子,初中,/ˈbæskɪt/,Put the fruit in the basket.,,把水果放进篮子里。,She carried a basket of flowers.,,她提着一篮花。
basketball,篮球,初中,/ˈbæskɪtbɔːl/,Basketball is popular in America.,,篮球在美国很受欢迎。,They play basketball every weekend.,,他们每周末打篮球。
bath,洗澡,初中,/bæθ/,I take a bath every evening.,,我每天晚上洗澡。,The baby enjoys his bath.,,宝宝很喜欢洗澡。
be,是,初中,/biː/,I want to be a teacher.,,我想成为一名教师。,They are happy.,are,他们很快乐。
beach,海滩,初中,/biːtʃ/,Let's go to the beach.,,我们去海滩吧。,We walked along the beach.,,我们沿着海滩散步。
beautiful,美丽的,初中,/ˈbjuːtɪfl/,She is beautiful.,,她很美丽。,It's a beautiful day.,,这是美好的一天。
because,因为,初中,/bɪˈkɒz/,I stayed home because it rained.,,我待在家里因为下雨了。,He was late because of traffic.,,他因为交通堵塞迟到了。
become,变成,初中,/bɪˈkʌm/,She became a doctor.,became,她成为了一名医生。,The sky became dark.,became,天空变暗了。
bedroom,卧室,初中,/ˈbedruːm/,My bedroom faces south.,,我的卧室朝南。,There are two beds in the bedroom.,,卧室里有两张床。
before,在...之前,初中,/bɪˈfɔː(r)/,Finish your homework before dinner.,,晚饭前完成作业。,I have seen this movie before.,,我以前看过这部电影。
begin,开始,初中,/bɪˈɡɪn/,Let's begin.,,让我们开始吧。,The meeting begins at nine.,begins,会议九点开始。
behind,在...后面,初中,/bɪˈhaɪnd/,The cat is behind the door.,,猫在门后面。,He stood behind me.,,他站在我后面。
believe,相信,初中,/bɪˈliːv/,I believe you.,,我相信你。,She believes in ghosts.,believes,她相信有鬼。
bell,铃,初中,/bel/,The bell rang.,rang,铃响了。,He heard the doorbell.,,他听到了门铃声。
below,在...下面,初中,/bɪˈləʊ/,The temperature is below zero.,,温度在零度以下。,Sign your name below the line.,,在横线下方签上你的名字。
beside,在...旁边,初中,/bɪˈsaɪd/,Sit beside me.,,坐在我旁边。,The book is beside the lamp.,,书在台灯旁边。
best,最好的,初中,/best/,Do your best.,,尽力而为。,This is the best movie I've seen.,,这是我看过的最好的电影。
better,更好的,初中,/ˈbetə(r)/,You look better today.,,你今天看起来好多了。,I hope you feel better soon.,,希望你很快好起来。
between,在...之间,初中,/bɪˈtwiːn/,The school is between the bank and the post office.,,学校在银行和邮局之间。,Choose between these two options.,,在这两个选项之间做出选择。
bike,自行车,初中,/baɪk/,I ride my bike to school.,,我骑自行车上学。,She bikes to work every day.,bikes,她每天骑自行车上班。
birth,出生,初中,/bɜːθ/,His birth was celebrated.,,他的出生受到了庆祝。,The birth of a baby is a happy event.,,婴儿的出生是一件喜事。
birthday,生日,初中,/ˈbɜːθdeɪ/,Happy birthday!,,生日快乐！,My birthday is in July.,,我的生日在七月。
bit,一点,初中,/bɪt/,I'm a bit tired.,,我有点累。,Add a bit of salt to the soup.,,往汤里加一点盐。
blackboard,黑板,初中,/ˈblækbɔːd/,Write on the blackboard.,,在黑板上写字。,The teacher cleaned the blackboard.,,老师擦干净了黑板。
blind,盲的,初中,/blaɪnd/,The blind man uses a cane.,,盲人使用拐杖。,She is blind in one eye.,,她一只眼睛失明。
boat,船,初中,/bəʊt/,We went boating.,boating,我们去划船了。,They crossed the river by boat.,,他们乘船过了河。
body,身体,初中,/ˈbɒdi/,Exercise is good for your body.,,运动对身体有益。,He has a strong body.,,他身体强壮。
born,出生,初中,/bɔːn/,I was born in 2000.,,我出生于2000年。,A baby was born last night.,,昨晚一个婴儿出生了。
both,两者都,初中,/bəʊθ/,Both answers are correct.,,两个答案都正确。,Both of my parents are teachers.,,我的父母都是老师。
bottle,瓶子,初中,/ˈbɒtl/,Drink water from the bottle.,,从瓶子里喝水。,She bottled the homemade juice.,bottled,她把自制的果汁装瓶了。
box,盒子,初中,/bɒks/,Put the toys in the box.,,把玩具放进盒子里。,He boxed the old books for storage.,boxed,他把旧书装箱以备储存。
break,打破,初中,/breɪk/,Don't break the window.,,别打破窗户。,The glass broke into pieces.,broke,玻璃杯碎成了碎片。
bring,带来,初中,/brɪŋ/,Bring your umbrella.,,带上你的伞。,She brought a cake to the party.,brought,她带了一个蛋糕来参加派对。
brown,棕色的,初中,/braʊn/,The bear is brown.,,熊是棕色的。,She has brown hair.,,她有一头棕色的头发。
brush,刷子；刷,初中,/brʌʃ/,Brush your teeth.,,刷牙。,He brushed the dust off his coat.,brushed,他刷掉了外套上的灰尘。
build,建造,初中,/bɪld/,They built a house.,built,他们建了一座房子。,They are building a new bridge.,building,他们正在建造一座新桥。
business,生意,初中,/ˈbɪznəs/,He is in business.,,他做生意。,She runs a small business.,,她经营着一家小生意。
but,但是,初中,/bʌt/,"I like apples, but I don't like oranges.",,我喜欢苹果，但不喜欢橙子。,He is young but very responsible.,,他很年轻但非常负责。
buy,买,初中,/baɪ/,I want to buy a new car.,,我想买一辆新车。,She bought a gift for her friend.,bought,她给朋友买了一份礼物。
by,通过；在...旁边,初中,/baɪ/,I go to school by bus.,,我坐公交车去学校。,The book is by the lamp.,,书在台灯旁边。
call,打电话；叫,初中,/kɔːl/,Please call me.,,请给我打电话。,She called her dog back.,called,她把她的狗叫了回来。
cannot,不能,初中,/kɑːnt/,I cannot speak French.,,我不会说法语。,He cannot swim very well.,,他游泳游得不太好。
cap,帽子,初中,/kæp/,Put on your cap.,,戴上你的帽子。,He capped the bottle tightly.,capped,他把瓶盖拧紧了。
capital,首都,初中,/ˈkæpɪtl/,Beijing is the capital of China.,,北京是中国的首都。,The company needs more capital to grow.,,公司需要更多资金来发展。
card,卡片,初中,/kɑːrd/,I sent a card.,,我寄了一张卡片。,She gave me a birthday card.,,她给了我一张生日卡片。
care,关心,初中,/ker/,Take care!,,保重！,He cares about his family.,cares,他关心他的家人。
careful,小心的,初中,/ˈkerfl/,Be careful.,,小心点。,She is a careful driver.,,她是个小心的司机。
carry,携带,初中,/ˈkæri/,I carry a bag.,,我携带一个包。,He carried the box upstairs.,carried,他把箱子搬上了楼。
case,情况；箱子,初中,/keɪs/,"In this case, we should leave.",,在这种情况下，我们应该离开。,Put the tools back in the case.,,把工具放回箱子里。
catch,抓住,初中,/kætʃ/,Catch the ball.,,接住球。,She caught a cold last week.,caught,她上周感冒了。
cause,原因,初中,/kɔːz/,What's the cause of the fire?,,火灾的原因是什么？,Smoking can cause health problems.,,吸烟会导致健康问题。
celebrate,庆祝,初中,/ˈselɪbreɪt/,We celebrate Christmas.,,我们庆祝圣诞节。,They celebrated their victory.,celebrated,他们庆祝了胜利。
centre,中心,初中,/ˈsentər/,The hotel is in the centre of the city.,,酒店在市中心。,The shopping centre is very busy.,,购物中心非常繁忙。
century,世纪,初中,/ˈsentʃəri/,We are in the 21st century.,,我们在21世纪。,The building is over a century old.,,这座建筑有一个多世纪的历史了。
change,改变,初中,/tʃeɪndʒ/,Things change.,,事物会改变。,She changed her mind.,changed,她改变了主意。
China,中国,初中,/ˈtʃaɪnə/,China is a great country.,,中国是一个伟大的国家。,I want to visit China one day.,,我想有一天去中国看看。
Chinese,中国的；中文,初中,/ˌtʃaɪˈniːz/,I study Chinese.,,我学习中文。,Chinese food is delicious.,,中国食物很美味。
chocolate,巧克力,初中,/ˈtʃɔːklət/,I like chocolate.,,我喜欢巧克力。,She bought a bar of chocolate.,,她买了一条巧克力。
choice,选择,初中,/tʃɔɪs/,It's your choice.,,这是你的选择。,We have no choice but to wait.,,我们别无选择，只能等待。
choose,选择,初中,tʃuːz,Choose wisely.,,明智地选择。,He chose the red one.,chose,他选了红色的那个。
city,城市,初中,ˈsɪti,New York is a big city.,,纽约是一个大城市。,Many cities have traffic problems.,cities,许多城市都有交通问题。
clean,干净的,初中,kliːn,Clean your room.,,打扫你的房间。,She is cleaning the kitchen.,cleaning,她正在打扫厨房。
clear,清楚的,初中,klɪə(r),The sky is clear.,,天空很晴朗。,Please make your answer clear.,,请把你的答案说清楚。
close,关闭,初中,kləʊz,Close the door.,,关门。,The shop closes at 9 p.m.,closes,这家商店晚上9点关门。
clothes,衣服,初中,kləʊðz,I bought new clothes.,,我买了新衣服。,She put on her warm clothes.,,她穿上了暖和的衣服。
cloud,云,初中,klaʊd,The cloud is white.,,云是白色的。,Dark clouds are gathering.,clouds,乌云正在聚集。
cloudy,多云的,初中,ˈklaʊdi,It's cloudy today.,,今天多云。,The weather forecast says it will be cloudy tomorrow.,,天气预报说明天多云。
club,俱乐部,初中,klʌb,I joined a sports club.,,我加入了一个体育俱乐部。,There are many clubs in our school.,clubs,我们学校有很多俱乐部。
coffee,咖啡,初中,ˈkɒfi,I drink coffee.,,我喝咖啡。,Would you like a cup of coffee?,,你想喝杯咖啡吗？
collect,收集,初中,kəˈlekt,I collect stamps.,,我收集邮票。,He is collecting data for his project.,collecting,他正在为他的项目收集数据。
come,来,初中,kʌm,Come here.,,过来。,She came to the party late.,came,她来参加派对迟到了。
company,公司,初中,ˈkʌmpəni,He works for a big company.,,他在一家大公司工作。,Several companies are competing.,companies,几家公司正在竞争。
computer,电脑,初中,kəmˈpjuːtə(r),I use a computer.,,我使用电脑。,Modern computers are very fast.,computers,现代电脑速度非常快。
condition,条件,初中,kənˈdɪʃn,The car is in good condition.,,这辆车状况良好。,He agreed under certain conditions.,conditions,他在某些条件下同意了。
connect,连接,初中,/kəˈnekt/,Connect the wires.,,连接电线。,The bridge connects the two cities.,,这座桥连接了两座城市。
continue,继续,初中,/kənˈtɪnjuː/,Continue working.,,继续工作。,The rain continued all day.,,雨下了一整天。
